"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\.eslintrc.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 45
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\brands\[name]\category\[category]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 10, 69
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\brands\[name]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 14, 128
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\brands\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\catalog\[category]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 9, 75
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\catalog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 16, 110
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\error\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 9, 56
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\globals.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 12, 58
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 3, 46
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\order\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 11, 141
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 11, 94
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 3, 75
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\product\[searchName]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 113, 0, 0, 0, 17, 130
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 281, 0, 0, 0, 27, 308
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\search\[query]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 12, 134
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\app\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 11, 66
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\banner_carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 8, 51
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\breadCrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 10, 82
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\cartDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 5, 58
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\cartItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 10, 117
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\catalog_devices.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 6, 55
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\categoryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\checkbox_filters_group.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 11, 94
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\container.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\favoriteDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\favoriteItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 10, 99
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\filter_checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\filters.tsx", "TypeScript JSX", 0, 0, 0, 0, 225, 0, 0, 0, 24, 249
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 19, 140
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\index.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\laptopFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 225, 0, 0, 0, 23, 248
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\productDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\productReviews.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 14, 111
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\product_card.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 11, 106
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\product_carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 11, 92
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\products_group_list.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 7, 72
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\range_slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 8, 69
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\ratingDistribution.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 1, 8, 51
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\reviewForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 16, 152
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\search_input.tsx", "TypeScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 17, 184
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\skeletonCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\sort_popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\stipeButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 12, 63
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\title.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\shared\top_bar.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\types\productInterface.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\types\userInterface.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 6, 54
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 232, 0, 0, 0, 31, 263
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 10, 62
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\lib\utils.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\next.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\package-lock.json", "JSON", 0, 0, 0, 7481, 0, 0, 0, 0, 1, 7482
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\package.json", "JSON", 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\store\authStore.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\store\breadCrumbStore.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\store\cartStore.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 18, 120
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\store\favoriteStore.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\store\storeBrand.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\tailwind.config.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\yawai\OneDrive\Документы\frontend.next-device\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 431, 26, 12, 7565, 4555, 46, 23, 3, 648, 13309